"TIME","GEO","GEO_LABEL","AGE","UNIT","SEX","Value"
"2008","LU","Luxembourg","Total","Percentage of active population","Total","4.9"
"2008","HU","Hungary","Total","Percentage of active population","Total","7.8"
"2008","MT","Malta","Total","Percentage of active population","Total","6.0"
"2008","NL","Netherlands","Total","Percentage of active population","Total","3.7"
"2008","AT","Austria","Total","Percentage of active population","Total","4.1"
"2008","PL","Poland","Total","Percentage of active population","Total","7.1"
"2008","PT","Portugal","Total","Percentage of active population","Total","8.8"
"2008","RO","Romania","Total","Percentage of active population","Total","5.6"
"2008","SI","Slovenia","Total","Percentage of active population","Total","4.4"
"2008","SK","Slovakia","Total","Percentage of active population","Total","9.6"
"2008","FI","Finland","Total","Percentage of active population","Total","6.4"
"2008","SE","Sweden","Total","Percentage of active population","Total","6.2"
"2008","UK","United Kingdom","Total","Percentage of active population","Total","5.6"
"2008","IS","Iceland","Total","Percentage of active population","Total","3.0"
"2008","NO","Norway","Total","Percentage of active population","Total","2.5"
"2008","TR","Turkey","Total","Percentage of active population","Total","10.0"
"2009","BE","Belgium","Total","Percentage of active population","Total","7.9"
"2009","BG","Bulgaria","Total","Percentage of active population","Total","6.8"
"2009","CZ","Czech Republic","Total","Percentage of active population","Total","6.7"
"2009","DK","Denmark","Total","Percentage of active population","Total","6.0"
"2009","DE","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","7.6"
"2009","EE","Estonia","Total","Percentage of active population","Total","13.5"
"2009","IE","Ireland","Total","Percentage of active population","Total","12.0"
"2009","EL","Greece","Total","Percentage of active population","Total","9.6"
"2009","ES","Spain","Total","Percentage of active population","Total","17.9"
"2009","FR","France","Total","Percentage of active population","Total","9.1"
"2009","HR","Croatia","Total","Percentage of active population","Total","9.3"
"2009","IT","Italy","Total","Percentage of active population","Total","7.7"
"2009","CY","Cyprus","Total","Percentage of active population","Total","5.4"
"2009","LV","Latvia","Total","Percentage of active population","Total","17.5"
"2009","LT","Lithuania","Total","Percentage of active population","Total","13.8"
"2009","LU","Luxembourg","Total","Percentage of active population","Total","5.1"
"2009","HU","Hungary","Total","Percentage of active population","Total","10.0"
"2009","MT","Malta","Total","Percentage of active population","Total","6.9"
"2009","NL","Netherlands","Total","Percentage of active population","Total","4.4"
"2009","AT","Austria","Total","Percentage of active population","Total","5.3"
"2009","PL","Poland","Total","Percentage of active population","Total","8.1"
"2009","PT","Portugal","Total","Percentage of active population","Total","10.7"
"2009","RO","Romania","Total","Percentage of active population","Total","6.5"
"2009","SI","Slovenia","Total","Percentage of active population","Total","5.9"
"2009","SK","Slovakia","Total","Percentage of active population","Total","12.1"
"2009","FI","Finland","Total","Percentage of active population","Total","8.2"
"2009","SE","Sweden","Total","Percentage of active population","Total","8.3"
"2009","UK","United Kingdom","Total","Percentage of active population","Total","7.6"
"2009","IS","Iceland","Total","Percentage of active population","Total","7.2"
"2009","NO","Norway","Total","Percentage of active population","Total","3.2"
"2009","TR","Turkey","Total","Percentage of active population","Total","13.0"
"2010","BE","Belgium","Total","Percentage of active population","Total","8.3"
"2010","BG","Bulgaria","Total","Percentage of active population","Total","10.3"
"2010","CZ","Czech Republic","Total","Percentage of active population","Total","7.3"
"2010","DK","Denmark","Total","Percentage of active population","Total","7.5"
"2010","DE","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","7.0"
"2010","EE","Estonia","Total","Percentage of active population","Total","16.7"
"2010","IE","Ireland","Total","Percentage of active population","Total","13.9"
"2010","EL","Greece","Total","Percentage of active population","Total","12.7"
"2010","ES","Spain","Total","Percentage of active population","Total","19.9"
"2010","FR","France","Total","Percentage of active population","Total","9.3"
"2010","HR","Croatia","Total","Percentage of active population","Total","11.8"
"2010","IT","Italy","Total","Percentage of active population","Total","8.4"
"2010","CY","Cyprus","Total","Percentage of active population","Total","6.3"
"2010","LV","Latvia","Total","Percentage of active population","Total","19.5"
"2010","LT","Lithuania","Total","Percentage of active population","Total","17.8"
"2010","LU","Luxembourg","Total","Percentage of active population","Total","4.6"
"2010","HU","Hungary","Total","Percentage of active population","Total","11.2"
"2010","MT","Malta","Total","Percentage of active population","Total","6.9"
"2010","NL","Netherlands","Total","Percentage of active population","Total","5.0"
"2010","AT","Austria","Total","Percentage of active population","Total","4.8"
"2010","PL","Poland","Total","Percentage of active population","Total","9.7"
"2010","PT","Portugal","Total","Percentage of active population","Total","12.0"
"2010","RO","Romania","Total","Percentage of active population","Total","7.0"
"2010","SI","Slovenia","Total","Percentage of active population","Total","7.3"
"2010","SK","Slovakia","Total","Percentage of active population","Total","14.5"
"2010","FI","Finland","Total","Percentage of active population","Total","8.4"
"2010","SE","Sweden","Total","Percentage of active population","Total","8.6"
"2010","UK","United Kingdom","Total","Percentage of active population","Total","7.8"
"2010","IS","Iceland","Total","Percentage of active population","Total","7.6"
"2010","NO","Norway","Total","Percentage of active population","Total","3.6"
"2010","TR","Turkey","Total","Percentage of active population","Total","11.1"
"2011","BE","Belgium","Total","Percentage of active population","Total","7.2"
"2011","BG","Bulgaria","Total","Percentage of active population","Total","11.3"
"2011","CZ","Czech Republic","Total","Percentage of active population","Total","6.7"
"2011","DK","Denmark","Total","Percentage of active population","Total","7.6"
"2011","DE","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","5.8"
"2011","EE","Estonia","Total","Percentage of active population","Total","12.3"
"2011","IE","Ireland","Total","Percentage of active population","Total","14.7"
"2011","EL","Greece","Total","Percentage of active population","Total","17.9"
"2011","ES","Spain","Total","Percentage of active population","Total","21.4"
"2011","FR","France","Total","Percentage of active population","Total","9.2"
"2011","HR","Croatia","Total","Percentage of active population","Total","13.7"
"2011","IT","Italy","Total","Percentage of active population","Total","8.4"
"2011","CY","Cyprus","Total","Percentage of active population","Total","7.9"
"2011","LV","Latvia","Total","Percentage of active population","Total","16.2"
"2011","LT","Lithuania","Total","Percentage of active population","Total","15.4"
"2011","LU","Luxembourg","Total","Percentage of active population","Total","4.8"
"2011","HU","Hungary","Total","Percentage of active population","Total","11.0"
"2011","MT","Malta","Total","Percentage of active population","Total","6.4"
"2011","NL","Netherlands","Total","Percentage of active population","Total","5.0"
"2011","AT","Austria","Total","Percentage of active population","Total","4.6"
"2011","PL","Poland","Total","Percentage of active population","Total","9.7"
"2011","PT","Portugal","Total","Percentage of active population","Total","12.9"
"2011","RO","Romania","Total","Percentage of active population","Total","7.2"
"2011","SI","Slovenia","Total","Percentage of active population","Total","8.2"
"2011","SK","Slovakia","Total","Percentage of active population","Total","13.7"
"2011","FI","Finland","Total","Percentage of active population","Total","7.8"
"2011","SE","Sweden","Total","Percentage of active population","Total","7.8"
"2011","UK","United Kingdom","Total","Percentage of active population","Total","8.1"
"2011","IS","Iceland","Total","Percentage of active population","Total","7.1"
"2011","NO","Norway","Total","Percentage of active population","Total","3.3"
"2011","TR","Turkey","Total","Percentage of active population","Total","9.1"
"2012","BE","Belgium","Total","Percentage of active population","Total","7.6"
"2012","BG","Bulgaria","Total","Percentage of active population","Total","12.3"
"2012","CZ","Czech Republic","Total","Percentage of active population","Total","7.0"
"2012","DK","Denmark","Total","Percentage of active population","Total","7.5"
"2012","DE","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","5.4"
"2012","EE","Estonia","Total","Percentage of active population","Total","10.0"
"2012","IE","Ireland","Total","Percentage of active population","Total","14.7"
"2012","EL","Greece","Total","Percentage of active population","Total","24.5"
"2012","ES","Spain","Total","Percentage of active population","Total","24.8"
"2012","FR","France","Total","Percentage of active population","Total","9.8"
"2012","HR","Croatia","Total","Percentage of active population","Total","15.8"
"2012","IT","Italy","Total","Percentage of active population","Total","10.7"
"2012","CY","Cyprus","Total","Percentage of active population","Total","11.9"
"2012","LV","Latvia","Total","Percentage of active population","Total","15.0"
"2012","LT","Lithuania","Total","Percentage of active population","Total","13.4"
"2012","LU","Luxembourg","Total","Percentage of active population","Total","5.1"
"2012","HU","Hungary","Total","Percentage of active population","Total","11.0"
"2012","MT","Malta","Total","Percentage of active population","Total","6.3"
"2012","NL","Netherlands","Total","Percentage of active population","Total","5.8"
"2012","AT","Austria","Total","Percentage of active population","Total","4.9"
"2012","PL","Poland","Total","Percentage of active population","Total","10.1"
"2012","PT","Portugal","Total","Percentage of active population","Total","15.8"
"2012","RO","Romania","Total","Percentage of active population","Total","6.8"
"2012","SI","Slovenia","Total","Percentage of active population","Total","8.9"
"2012","SK","Slovakia","Total","Percentage of active population","Total","14.0"
"2012","FI","Finland","Total","Percentage of active population","Total","7.7"
"2012","SE","Sweden","Total","Percentage of active population","Total","8.0"
"2012","UK","United Kingdom","Total","Percentage of active population","Total","7.9"
"2012","IS","Iceland","Total","Percentage of active population","Total","6.0"
"2012","NO","Norway","Total","Percentage of active population","Total","3.2"
"2012","TR","Turkey","Total","Percentage of active population","Total","8.4"
"2013","BE","Belgium","Total","Percentage of active population","Total","8.4"
"2013","BG","Bulgaria","Total","Percentage of active population","Total","13.0"
"2013","CZ","Czech Republic","Total","Percentage of active population","Total","7.0"
"2013","DK","Denmark","Total","Percentage of active population","Total","7.0"
"2013","DE","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","5.2"
"2013","EE","Estonia","Total","Percentage of active population","Total","8.6"
"2013","IE","Ireland","Total","Percentage of active population","Total","13.1"
"2013","EL","Greece","Total","Percentage of active population","Total","27.5"
"2013","ES","Spain","Total","Percentage of active population","Total","26.1"
"2013","FR","France","Total","Percentage of active population","Total","10.3"
"2013","HR","Croatia","Total","Percentage of active population","Total","17.4"
"2013","IT","Italy","Total","Percentage of active population","Total","12.1"
"2013","CY","Cyprus","Total","Percentage of active population","Total","15.9"
"2013","LV","Latvia","Total","Percentage of active population","Total","11.9"
"2013","LT","Lithuania","Total","Percentage of active population","Total","11.8"
"2013","LU","Luxembourg","Total","Percentage of active population","Total","5.9"
"2013","HU","Hungary","Total","Percentage of active population","Total","10.2"
"2013","MT","Malta","Total","Percentage of active population","Total","6.4"
"2013","NL","Netherlands","Total","Percentage of active population","Total","7.3"
"2013","AT","Austria","Total","Percentage of active population","Total","5.4"
"2013","PL","Poland","Total","Percentage of active population","Total","10.3"
"2013","PT","Portugal","Total","Percentage of active population","Total","16.4"
"2013","RO","Romania","Total","Percentage of active population","Total","7.1"
"2013","SI","Slovenia","Total","Percentage of active population","Total","10.1"
"2013","SK","Slovakia","Total","Percentage of active population","Total","14.2"
"2013","FI","Finland","Total","Percentage of active population","Total","8.2"
"2013","SE","Sweden","Total","Percentage of active population","Total","8.0"
"2013","UK","United Kingdom","Total","Percentage of active population","Total","7.5"
"2013","IS","Iceland","Total","Percentage of active population","Total","5.4"
"2013","NO","Norway","Total","Percentage of active population","Total","3.5"
"2013","TR","Turkey","Total","Percentage of active population","Total","9.0"
"2014","BE","Belgium","Total","Percentage of active population","Total","8.5"
"2014","BG","Bulgaria","Total","Percentage of active population","Total","11.4"
"2014","CZ","Czech Republic","Total","Percentage of active population","Total","6.1"
"2014","DK","Denmark","Total","Percentage of active population","Total","6.6"
"2014","DE","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","5.0"
"2014","EE","Estonia","Total","Percentage of active population","Total","7.4"
"2014","IE","Ireland","Total","Percentage of active population","Total","11.3"
"2014","EL","Greece","Total","Percentage of active population","Total","26.5"
"2014","ES","Spain","Total","Percentage of active population","Total","24.5"
"2014","FR","France","Total","Percentage of active population","Total","10.3"
"2014","HR","Croatia","Total","Percentage of active population","Total","17.2"
"2014","IT","Italy","Total","Percentage of active population","Total","12.7"
"2014","CY","Cyprus","Total","Percentage of active population","Total","16.1"
"2014","LV","Latvia","Total","Percentage of active population","Total","10.8"
"2014","LT","Lithuania","Total","Percentage of active population","Total","10.7"
"2014","LU","Luxembourg","Total","Percentage of active population","Total","6.0"
"2014","HU","Hungary","Total","Percentage of active population","Total","7.7"
"2014","MT","Malta","Total","Percentage of active population","Total","5.8"
"2014","NL","Netherlands","Total","Percentage of active population","Total","7.4"
"2014","AT","Austria","Total","Percentage of active population","Total","5.6"
"2014","PL","Poland","Total","Percentage of active population","Total","9.0"
"2014","PT","Portugal","Total","Percentage of active population","Total","14.1"
"2014","RO","Romania","Total","Percentage of active population","Total","6.8"
"2014","SI","Slovenia","Total","Percentage of active population","Total","9.7"
"2014","SK","Slovakia","Total","Percentage of active population","Total","13.2"
"2014","FI","Finland","Total","Percentage of active population","Total","8.7"
"2014","SE","Sweden","Total","Percentage of active population","Total","7.9"
"2014","UK","United Kingdom","Total","Percentage of active population","Total","6.1"
"2014","IS","Iceland","Total","Percentage of active population","Total","5.0"
"2014","NO","Norway","Total","Percentage of active population","Total","3.5"
"2014","TR","Turkey","Total","Percentage of active population","Total","9.9"
"2015","BE","Belgium","Total","Percentage of active population","Total","8.5"
"2015","BG","Bulgaria","Total","Percentage of active population","Total","9.2"
"2015","CZ","Czech Republic","Total","Percentage of active population","Total","5.1"
"2015","DK","Denmark","Total","Percentage of active population","Total","6.2"
"2015","DE","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","4.6"
"2015","EE","Estonia","Total","Percentage of active population","Total","6.2"
"2015","IE","Ireland","Total","Percentage of active population","Total","9.4"
"2015","EL","Greece","Total","Percentage of active population","Total","24.9"
"2015","ES","Spain","Total","Percentage of active population","Total","22.1"
"2015","FR","France","Total","Percentage of active population","Total","10.4"
"2015","HR","Croatia","Total","Percentage of active population","Total","16.1"
"2015","IT","Italy","Total","Percentage of active population","Total","11.9"
"2015","CY","Cyprus","Total","Percentage of active population","Total","15.0"
"2015","LV","Latvia","Total","Percentage of active population","Total","9.9"
"2015","LT","Lithuania","Total","Percentage of active population","Total","9.1"
"2015","LU","Luxembourg","Total","Percentage of active population","Total","6.5"
"2015","HU","Hungary","Total","Percentage of active population","Total","6.8"
"2015","MT","Malta","Total","Percentage of active population","Total","5.4"
"2015","NL","Netherlands","Total","Percentage of active population","Total","6.9"
"2015","AT","Austria","Total","Percentage of active population","Total","5.7"
"2015","PL","Poland","Total","Percentage of active population","Total","7.5"
"2015","PT","Portugal","Total","Percentage of active population","Total","12.6"
"2015","RO","Romania","Total","Percentage of active population","Total","6.8"
"2015","SI","Slovenia","Total","Percentage of active population","Total","9.0"
"2015","SK","Slovakia","Total","Percentage of active population","Total","11.5"
"2015","FI","Finland","Total","Percentage of active population","Total","9.4"
"2015","SE","Sweden","Total","Percentage of active population","Total","7.4"
"2015","UK","United Kingdom","Total","Percentage of active population","Total","5.3"
"2015","IS","Iceland","Total","Percentage of active population","Total","4.0"
"2015","NO","Norway","Total","Percentage of active population","Total","4.4"
"2015","TR","Turkey","Total","Percentage of active population","Total","10.3"
"2016","BE","Belgium","Total","Percentage of active population","Total","7.8"
"2016","BG","Bulgaria","Total","Percentage of active population","Total","7.6"
"2016","CZ","Czech Republic","Total","Percentage of active population","Total","4.0"
"2016","DK","Denmark","Total","Percentage of active population","Total","6.2"
"2016","DE","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","4.1"
"2016","EE","Estonia","Total","Percentage of active population","Total","6.8"
"2016","IE","Ireland","Total","Percentage of active population","Total","7.9"
"2016","EL","Greece","Total","Percentage of active population","Total","23.6"
"2016","ES","Spain","Total","Percentage of active population","Total","19.6"
"2016","FR","France","Total","Percentage of active population","Total","10.1"
"2016","HR","Croatia","Total","Percentage of active population","Total","13.4"
"2016","IT","Italy","Total","Percentage of active population","Total","11.7"
"2016","CY","Cyprus","Total","Percentage of active population","Total","13.0"
"2016","LV","Latvia","Total","Percentage of active population","Total","9.6"
"2016","LT","Lithuania","Total","Percentage of active population","Total","7.9"
"2016","LU","Luxembourg","Total","Percentage of active population","Total","6.3"
"2016","HU","Hungary","Total","Percentage of active population","Total","5.1"
"2016","MT","Malta","Total","Percentage of active population","Total","4.7"
"2016","NL","Netherlands","Total","Percentage of active population","Total","6.0"
"2016","AT","Austria","Total","Percentage of active population","Total","6.0"
"2016","PL","Poland","Total","Percentage of active population","Total","6.2"
"2016","PT","Portugal","Total","Percentage of active population","Total","11.2"
"2016","RO","Romania","Total","Percentage of active population","Total","5.9"
"2016","SI","Slovenia","Total","Percentage of active population","Total","8.0"
"2016","SK","Slovakia","Total","Percentage of active population","Total","9.7"
"2016","FI","Finland","Total","Percentage of active population","Total","8.8"
"2016","SE","Sweden","Total","Percentage of active population","Total","6.9"
"2016","UK","United Kingdom","Total","Percentage of active population","Total","4.8"
"2016","IS","Iceland","Total","Percentage of active population","Total","3.0"
"2016","NO","Norway","Total","Percentage of active population","Total","4.7"
"2016","TR","Turkey","Total","Percentage of active population","Total","10.9"
